# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	4.96	-2.292994
2511.886432	5.0	4.96	3.6
3981.071706	5.0	4.99	5.76
6309.573445	5.0	4.95	4.528302
10000.0	5.0	4.94	2.868526
15848.931925	5.0	4.91	9.171975
25118.864315	4.97	4.87	10.85427
39810.717055	4.97	4.77	14.28571
63095.734448	4.94	4.55	22.78481
100000.0	4.94	4.09	31.68
158489.319246	4.86	3.38	45.85987
251188.643151	4.8	2.54	59.69849
398107.170553	4.8	1.76	68.57143
630957.34448	4.8	1.162	74.71698
1000000.0	4.8	0.758	82.40964
1584893.192461	4.8	0.48	84.30379
2511886.43151	4.74	0.304	86.83418
3981071.705535	4.66	0.1881	88.57142
