# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	5.0	-4.556962
2511.886432	5.0	4.97	-1.809045
3981.071706	5.0	4.96	5.714286
6309.573445	5.0	4.96	6.835443
10000.0	5.0	4.93	5.76
15848.931925	5.0	4.92	6.835443
25118.864315	5.0	4.89	10.85427
39810.717055	5.0	4.76	14.28571
63095.734448	4.94	4.53	22.78481
100000.0	4.94	4.1	36.0
158489.319246	4.86	3.38	47.8481
251188.643151	4.8	2.54	59.69849
398107.170553	4.8	1.76	72.0
630957.34448	4.8	1.174	74.71698
1000000.0	4.8	0.759	82.08
1584893.192461	4.8	0.481	84.30379
2511886.43151	4.74	0.301	88.64322
3981071.705535	4.66	0.1883	88.57142
