# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	5.0	-2.292994
2511.886432	5.0	4.97	3.6
3981.071706	5.0	4.96	-2.857143
6309.573445	5.0	4.93	4.528302
10000.0	5.0	4.96	5.76
15848.931925	5.0	4.93	4.556962
25118.864315	5.0	4.89	9.045226
39810.717055	5.0	4.76	20.0
63095.734448	4.97	4.53	25.06329
100000.0	4.94	4.1	34.56
158489.319246	4.86	3.38	47.8481
251188.643151	4.83	2.54	59.69849
398107.170553	4.8	1.777	71.42857
630957.34448	4.83	1.172	75.18987
1000000.0	4.8	0.75	80.64
1584893.192461	4.8	0.475	84.30379
2511886.43151	4.74	0.3	88.64322
3981071.705535	4.66	0.19	92.16
