# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	5.0	-4.556962
2511.886432	5.0	5.0	-1.809045
3981.071706	5.0	4.97	5.714286
6309.573445	5.0	4.96	4.528302
10000.0	5.0	4.93	4.32
15848.931925	4.97	4.92	9.171975
25118.864315	5.0	4.89	9.045226
39810.717055	5.0	4.76	17.14286
63095.734448	4.94	4.53	25.06329
100000.0	4.94	4.07	33.12
158489.319246	4.86	3.36	48.15287
251188.643151	4.8	2.53	61.50753
398107.170553	4.8	1.754	71.42857
630957.34448	4.83	1.158	75.18987
1000000.0	4.8	0.756	83.52
1584893.192461	4.8	0.479	84.30379
2511886.43151	4.77	0.304	88.64322
3981071.705535	4.7	0.1861	92.16
