# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	4.96	4.556962
2511.886432	5.0	4.99	3.6
3981.071706	5.0	4.95	5.76
6309.573445	5.0	4.94	4.556962
10000.0	5.0	4.97	4.32
15848.931925	5.0	4.9	6.835443
25118.864315	5.0	4.9	12.66332
39810.717055	5.0	4.76	17.14286
63095.734448	4.94	4.53	22.64151
100000.0	4.94	4.1	34.56
158489.319246	4.86	3.38	45.85987
251188.643151	4.8	2.54	59.69849
398107.170553	4.8	1.777	71.42857
630957.34448	4.77	1.16	77.46835
1000000.0	4.8	0.758	84.96001
1584893.192461	4.8	0.48	84.30379
2511886.43151	4.74	0.304	88.64322
3981071.705535	4.7	0.1861	92.16
