# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	4.97	4.585987
2511.886432	5.0	4.96	-1.809045
3981.071706	5.0	4.99	-2.857143
6309.573445	5.0	4.95	4.556962
10000.0	5.0	4.94	4.32
15848.931925	5.0	4.91	9.113924
25118.864315	5.0	4.87	10.85427
39810.717055	4.97	4.77	17.14286
63095.734448	4.94	4.55	20.37736
100000.0	4.94	4.09	33.12
158489.319246	4.86	3.38	47.8481
251188.643151	4.83	2.54	59.69849
398107.170553	4.8	1.76	69.12
630957.34448	4.8	1.174	75.18987
1000000.0	4.8	0.752	82.08
1584893.192461	4.8	0.482	84.30379
2511886.43151	4.77	0.301	86.83418
3981071.705535	4.7	0.1883	92.16
