# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	5.0	-2.292994
2511.886432	5.0	4.97	3.61809
3981.071706	5.0	5.0	5.714286
6309.573445	5.0	4.93	4.556962
10000.0	5.0	4.96	4.32
15848.931925	5.0	4.93	4.556962
25118.864315	5.0	4.89	10.8
39810.717055	5.0	4.79	17.14286
63095.734448	4.94	4.54	22.78481
100000.0	4.94	4.09	34.42231
158489.319246	4.86	3.38	47.8481
251188.643151	4.83	2.54	59.69849
398107.170553	4.8	1.76	68.57143
630957.34448	4.8	1.174	75.18987
1000000.0	4.77	0.752	82.08
1584893.192461	4.8	0.477	86.58228
2511886.43151	4.74	0.305	86.83418
3981071.705535	4.7	0.1894	92.16
