# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	5.0	-2.292994
2511.886432	5.0	4.97	3.61809
3981.071706	5.0	5.0	5.76
6309.573445	5.0	4.97	6.835443
10000.0	5.0	4.93	2.891566
15848.931925	4.97	4.89	6.878982
25118.864315	5.0	4.85	10.85427
39810.717055	5.0	4.75	17.14286
63095.734448	4.94	4.53	25.06329
100000.0	4.94	4.1	33.12
158489.319246	4.86	3.38	48.15287
251188.643151	4.83	2.54	59.69849
398107.170553	4.8	1.76	65.71429
630957.34448	4.8	1.174	75.18987
1000000.0	4.8	0.759	80.64
1584893.192461	4.8	0.481	84.30379
2511886.43151	4.77	0.304	88.64322
3981071.705535	4.66	0.1881	91.42857
