# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	4.93	-2.278481
2511.886432	5.0	4.96	-1.809045
3981.071706	5.0	4.99	5.714286
6309.573445	5.0	4.95	4.528302
10000.0	5.0	4.91	4.337349
15848.931925	5.0	4.94	9.171975
25118.864315	5.0	4.91	10.90909
39810.717055	5.0	4.75	17.14286
63095.734448	4.94	4.53	25.06329
100000.0	4.94	4.1	34.56
158489.319246	4.86	3.38	47.8481
251188.643151	4.8	2.54	57.88944
398107.170553	4.8	1.76	72.0
630957.34448	4.8	1.174	76.98113
1000000.0	4.8	0.759	80.64
1584893.192461	4.8	0.481	87.13376
2511886.43151	4.74	0.304	86.83418
3981071.705535	4.7	0.1881	91.42857
