# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	4.97	4.585987
2511.886432	5.0	4.96	-1.809045
3981.071706	5.0	4.93	5.714286
6309.573445	5.0	4.96	4.528302
10000.0	5.0	4.93	2.88
15848.931925	5.0	4.92	6.835443
25118.864315	5.0	4.89	12.66332
39810.717055	5.0	4.76	14.28571
63095.734448	4.94	4.53	22.78481
100000.0	4.94	4.07	33.12
158489.319246	4.86	3.36	45.56962
251188.643151	4.8	2.53	57.88944
398107.170553	4.8	1.754	71.42857
630957.34448	4.77	1.17	76.98113
1000000.0	4.77	0.748	82.08
1584893.192461	4.8	0.483	84.30379
2511886.43151	4.77	0.303	86.4
3981071.705535	4.7	0.1898	92.16
