# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	4.93	-2.278481
2511.886432	5.0	4.96	-1.809045
3981.071706	5.0	4.99	5.714286
6309.573445	5.0	4.92	4.556962
10000.0	5.0	4.95	5.76
15848.931925	5.0	4.91	6.835443
25118.864315	5.0	4.87	12.66332
39810.717055	4.97	4.77	20.16
63095.734448	4.94	4.55	22.78481
100000.0	4.94	4.09	31.68
158489.319246	4.86	3.38	47.8481
251188.643151	4.8	2.54	59.69849
398107.170553	4.8	1.76	65.71429
630957.34448	4.83	1.174	74.71698
1000000.0	4.8	0.752	82.08
1584893.192461	4.77	0.477	84.30379
2511886.43151	4.74	0.305	88.64322
3981071.705535	4.66	0.1894	91.42857
