# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	5.0	-2.292994
2511.886432	5.0	4.97	3.61809
3981.071706	5.0	4.96	5.714286
6309.573445	4.94	4.93	4.528302
10000.0	5.0	4.96	5.76
15848.931925	5.0	4.9	6.835443
25118.864315	5.0	4.87	10.8
39810.717055	5.0	4.77	17.14286
63095.734448	4.94	4.55	22.78481
100000.0	4.94	4.06	34.56
158489.319246	4.86	3.38	48.15287
251188.643151	4.83	2.54	57.88944
398107.170553	4.8	1.76	69.12
630957.34448	4.83	1.174	77.46835
1000000.0	4.77	0.752	80.64
1584893.192461	4.8	0.477	84.30379
2511886.43151	4.77	0.305	86.83418
3981071.705535	4.66	0.1894	91.42857
